Botanical Name,Common Name,Family,Plant Type,Origin,Maintenance,Height,Width,Light,Bloom season,Water needs,Soil,Tolerant,Toxicity,Hardiness (USDA),Bloom color,Common Name,Synonyms,Genus,Type,Native Range,USDA Hardiness Zones,Mature Size,Bloom Time,Foliage,Propagation methods,Sun,Synonym,Blooms,Common Cultivars,Botanical name,Common Cultivars,Humidity,Cultivars,Common Varieties
Aloe vaombe,Malagasy Tree Aloe,Asphodelaceae,Succulent,Madagascar,Low,8-12 feet,4-5 feet,Full sun,Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,Red,,,,,,,,,,,,,,,,,,,
Carnegiea gigantea,Saguaro,Cactaceae,Succulent,"Sonoran Desert (Arizona, California, Mexico)",Low,10-50 feet,,Full sun,"Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",non-toxic,,White,,,,,,,,,,,,,,,,,,,
Opuntia microdasys,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Bunny Ear Cactus, Polka Dot Cactus, Angel’s Wings Cactus",,Opuntia,Cactus,Central and northern Mexico,9 to 12,Height: 2-3 feet; Spread: 4-6 feet,Summer,Evergreen,"by seeds, by stem segments",Full sun,,,Albata,,,,,
Cotyledon orbiculata var. oblonga ‘Macrantha’,Pig’s Ear Plant,Crassulaceae,Succulent,South Africa,Low,2-3 feet,2-3 feet,"Full sun, Partial shade","Winter, Spring",Low,"Well-Drained, Loamy, Sandy",Drought,non-toxic,9-12,"Coral, Red",,,,,,,,,,,,,,,,,,,
Aeonium ‘Blushing Beauty’,Blushing Aeonium,Crassulaceae (Stonecrops),"Succulent, House plant, Perennial",Canary Islands,Low,2-3 feet (60cm – 90cm),2-3 feet (60cm – 90cm),"Full Sun, Partial Shade",Spring,Low/Moderate,"Well-drained; Loam, Sand","Drought, Deer, Salt",Non-toxic to Pets,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Aloe plicatilis,Fan Aloe,Asphodelaceae,Succulent,South Africa,Low,4-8 feet,4-6 feet,"Full sun, Light shade","Winter, Spring",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-12,Red,,,,,,,,,,,,,,,,,,,
Aloe microstigma,Cape Speckled Aloe,Asphodelaceae,Succulent,South Africa,Low,1-2 feet,1-2 feet,Full sun,"Winter, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Red, Orange, Yellow",,,,,,,,,,,,,,,,,,,
,Echeveria ‘Cassyz Winter’,Crassulaceae,Succulent,Mexico,Low,6-8 inches,6-8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Astrophytum myriostigma var. nudum,Bishop’s Miter,Cactaceae,Succulent,Garden Origin,Low,1-4 feet,1-4 feet,Full sun,"Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rabbit, Rocky Soil",non-toxic,10-11,Pale Yellow,,,,,,,,,,,,,,,,,,,
Crassula arborescens,"Silver Dollar Jade, Chinese Jade, Silver Jade Plant",Crassulaceae,Succulent,South Africa,Low,1-4 feet,1-4 feet,"Full sun, Partial shade","Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Toxic,9-11,"Pink, White",,,,,,,,,,,,,,,,,,,
Delosperma ‘Fire Spinner’ ,Ice Plant,Aizoaceae,Succulent,South Africa,Low,0-1 feet,1-2 feet,Direct sunlight,"Spring (late), Summer(early)",Low,Well-Drained,Drought,Non-Toxic,6-10,,,,,,,,,,,,,,,,,,,,
Agave victoriae-reginae,,Asparagaceae,,,,,,,,,"Porous, Well-drained",,Non-Toxic,,,"Queen Victoria Agave, Royal Agave","Agave consideranti, Agave ferdinandi-regis, Agave nickelsii",Agave,Succulent,Mexico,9 to 11,"Height: up to 3 feet, Spread: up to 3 feet",Summer,Evergreen,"by seeds, by offsets",Full sun to Bright shade,,,"Golden Princess, Albomarginata, Sharkskin Shoes, Kazo Bana, Porcupine, Ring of Gold",,,,,
Dracaena marginata,,Asparagaceae,,,,,,,,,"Loamy, Well-Drained",,"Toxic to Dogs, Toxic to Cats",,,"Dragon Tree, Madagascar Dragon Tree, Red edge Dracaena",Dracaena reflexa,Dracaena,Broadleaf Evergreen,"Madagascar, Mauritius",10-12,Height: 6 ft. – 20 ft.Width: 3 ft. – 10 ft.,Seasonal bloomer,Evergreen,"by seed, by cuttings","Part shade, Part Sun",,,,,"Bicolor, Tricolor, Colorama",,,
Senecio rowleyanus,,Asteraceae,,,,,,,,,"Dry, Well-Drained",,Mildly Toxic,,,"String of Pearls, Bead Plant, Irish Beads, Necklace Plant, Rosary Vine, String of Beads, String of Marbles, String of Peas",Curio rowleyanus,Senecio,Succulent Vine,Southwest Africa,9b to 11a,Height: 1 to 2 feet; Spread: 1 to 2 feet,Summer,Evergreen,"by cuttings, by division, by seeds",Partial shade,,,,,,,,
Hippeastrum,,Amaryllidaceae,,,,,,,,,"Good Drainage, Moist",,Medium Severity,,,Amaryllis,,,Bulb,Central and South America,7b to 10,Height: 1-2 feet; Spread: about 1 feet,"Spring, Summer, Winter",Deciduous,"by seed, by offsets, by twin scale cuttings",Full sun to part shade,,,,,,,,
"Mesembryanthemum cordifolium (Accepted), Aptenia cordifolia","Baby Sun Rose, Heartleaf Iceplant",Aizoaceae,Succulent,South Africa,Low,0-1 feet,1-2 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy",Drought,non-toxic,10-11,"Red, Purple",,,,,,,,,,,,,,,,,,,
Calandrinia grandiflora,Rock Purslane,Montiaceae,Succulent,Chile,Low,1-3 feet,2-3 feet,"Full sun, Partial shade","Spring, Summer, Autumn",Low,"Well-Drained, Loamy, Sandy",Drought,non-toxic,9-11,"Purple, Magenta",,,,,,,,,,,,,,,,,,,
Aeonium ‘Mardi Gras’,Aeonium ‘Mardi Gras’,Crassulaceae,Succulent,"Hybrid, Garden origin",Low,3-4 inches,4-6 inches,"Full sun, Partial shade",Spring,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly Toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Philodendron hederaceum,Heartleaf Philodendron,Araceae,Vine,Americas,Low,1-3 feet,3-8 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
,Echeveria ‘Black Prince’,Crassulaceae,Succulent,Mexico,Low,4-10 inches,5-10 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Agave americana ‘Mediopicta Alba’,Agave americana ‘Mediopicta Alba’,Asparagaceae,Succulent,Garden Origin,Low,3-4 feet,5-6 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,Yellow,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel Of The Desert Topaz’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Bright light,"Spring, Summer, Autumn",Low,Well-Drained,Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Aloe capitata var. quartziticola,,Asphodelaceae,Succulent,Madagascar,Low,2-3 feet,2-3 feet,"Full sun, Light shade","Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-12,"Yellow, Orange",,,,,,,,,,,,,,,,,,,
Parodia leninghausii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Yellow Tower Cactus, Lemon Ball, Golden Ball",Echinocactus leninghausii Eriocactus leninghausii Eriocephala leninghausii Malacocarpus leninghausii Notocactus leninghausii Pilocereus leninghausii,Parodia,Cactus,Brazil,9a to 11b,"Height: 3.3 feet, Spread: 6 inches","Spring, Summer",Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Crassula perfoliata var. minor,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Airplane Plant, Airplane Propeller Plant, Propeller Plant, Scarlet Paint Brush, Sickle Plant",Crassula perfolata var. falcata,Crassula,Succulent,South Africa,9a to 11b,up to 2 feet,Summer,Evergreen,"by seeds, by cuttings",Full sun to Part shade,,,,,,,,
Guzmania musaica,,Bromeliaceae,,,,,,,,,"Moist, Well-drained",,Non-Toxic,,,"Mosaic Vase, Guzmania","Tillandsia musaica, Billbergia musaica, Caraguata musaica, Massangea musaica, Tillandsia mosaic, Guzmania musaica var. concolor, Guzmania musaica var. discolor, Guzmania musaica var. rosea, Guzmania musaica var. zebrina",Guzmania,Epiphyte,Costa Rica to NW. Venezuela and NW. Ecuador,9 to 11,"Height: 0.2 to 0.5 feet, Spread: 0.2 to 0.4 feet",Summer,Leathery Evergreen,by offsets,Full Sun to Partial Shade,,,,,,,,
Agave montana,Mountain Agave,Asparagaceae,Succulent,Northeastern Mexico,Low,3-4 feet,4-5 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rabbit",Non-toxic,7-10,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Marble Queen’,Marble Queen Pothos,Araceae,Evergreen Vine,Australia,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Slightly Moist",,Toxic,11-12,,,,,,,,,,,,,,,,,,,,
Gasteria carinata var. verrucosa,,Asphodelaceae,,,,,,,,,"Porous, Well-drained",,Non-Toxic,,,"Ox Tongue, Warty Aloe","Gasteria verrucosa, Aloe carnisa, Aloe verrucosa",Gasteria,Succulent,South Africa,9 to 11,"Height: 12 inches, Spread: 12 inches","Spring, Summer",Evergreen,"by offsets, by cuttings",Part shade to full sun,,,,,,,,
Haworthia,,Asphodelaceae,,,,,,,,,Well-drained,,Non-Toxic,,,,"Apicra, Catevala",,Succulent,South Africa,9 to 11,Height: 6-8 inches; Spread: 4-6 inches,,Evergreen,"by offsets, by cuttings",Full sun to partial shade,,,,,,,,
Aloe ferox,"Cape Aloe, Bitter Aloe",Asphodelaceae,Succulent,"South Africa, Lesotho",Low,6-9 feet,3-5 feet,Full sun,"Winter, Spring",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-12,"Red, Orange",,,,,,,,,,,,,,,,,,,
Agave weberi ‘Arizona Star’,Weber Agave,Asparagaceae,Succulent,Garden Origin,Low,4-5 feet,6-8 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Aeonium decorum ‘Velour’,Aeonium ‘Velour’,Crassulaceae,Succulent,"Hybrid, Garden origin",Low,2-3 feet,1-2 feet,"Full sun, Partial shade","Spring, Summer",Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,10-11,Yellow,,,,,,,,,,,,,,,,,,,
Neoregelia spectabilis,,Bromeliaceae,,,,,,,,,"Moist, Well-drained",,Non-Toxic,,,"Painted Fingernail Plant, Fingernail Bromeliad, Fingernail Plant, Marbled Fingernail, Miniature Marble Plant, Painted Fingernail Bromeliad","Aregelia spectabilis, Karatas spectabilis, Nidularium eximium, Nidularium spectabile, Regelia spectabilis",Neoregelia,Perennial; Herbaceous,Brazil,9b to 11,Height: 30 to 40 cm; Spread: 40 to 80 cm,Summer,Evergreen,"by seeds, by offsets",Part Shade,,,,,,,,
Delosperma cooperi ‘Wheels of Wonder – Violet Wonder’,Delosperma ‘Violet Wonder’,Aizoaceae,Succulent,Garden Origin,Low,1-2 inches,8-12 inches,Full sun,"Spring (Late), Summer","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-9,,,,,,,,,,,,,,,,,,,,
Faucaria tigrina,,Aizoaceae,,,,,,,,,"Porous, Well-drained",,Non-Toxic,,,Tiger Jaws,,Faucaria,Succulent,South Africa,9 to 11,"Height: 4-6 inches, Spread: 5-6 inches","Autumn, Early Winter",Evergreen,"by offsets, by seeds",Full sun,,,,,,,,
Echeveria runyonii ‘Topsy Turvy’,,Crassulaceae,Succulent,Mexico,Low,8-12 inches,8-12 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel of the Desert Amethyst’,Aizoaceae,Succulent,South Africa,Low,4-6 inches,8-10 inches,Direct sunlight,"Spring, Summer, Autumn, Winter",Low,Well-Drained,Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Aloe ‘Blue Elf’,Aloe Blue Elf,Asphodelaceae,Succulent,Garden Origin,Low,1-2 feet,1-2 feet,"Full sun, Partial shade","Winter, Spring",Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,"Orange, Red",,,,,,,,,,,,,,,,,,,
Aloe speciosa,Tilt-Head Aloe,Asphodelaceae,Succulent,South Africa,Low,8-10 feet,4-6 feet,Full sun,Summer,Low,"Well-Drained, Loamy","Deer, Drought",non-toxic,9-10,"Red, White",,,,,,,,,,,,,,,,,,,
Nephrolepis exaltata,,Nephrolepidaceae,,,,,,,,,"Moist, Well–drained",,Non-Toxic,,,"Boston Fern, Sword Fern",,Nephrolepis,Fern,"South America, Mexico",9 to 11,Height: 2-3 feet; Spread: 2-3 feet,,Evergreen,"by spores, by division",Partial shade,,,,,,,‘Teddy Junior”Bostoniensis”Sonata”Montana”Green Lady”Marissa’ (a dwarf variety)’Todeoides”Whitmanii Improved”Rooseveltii”Elegantissima’,
Aptenia cordifolia ‘Variegata’,Variegated Baby Sun Rose,Aizoaceae,Succulent,South Africa,Low,1 ft.,1-2 ft.,Full sun,"Winter, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,10-11,"Pink, Purple, Red",,,,,,,,,,,,,,,,,,,
Agave nickelsiae,King of the Agaves,Asparagaceae,Succulent,Northwestern Mexico,Low,2-3 feet,2-3 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,7-11,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Beaucarnea recurvata,,Asparagaceae,,,,,,,,,Good Drainage,,Non-Toxic,,,"Ponytail Palm, Bottle Palm, Elephant foot Tree, Pony Tail Plant",Beaucarnea inermisBeaucarnea tuberculataDasylirion inermeDasylirion inermisDasylirion recurvatumNolina recurvataPincenectitia tuberculata,Beaucarnea,Broadleaf Evergreen,"Belize, Guatemala, Southeastern Mexico",10 to 11,Height: 6-8 feet; Spread: 3-5 feet,Seasonal,Evergreen,"by seeds, by offsets",Full sun,,,,,,,,
Aeonium decorum ‘Sunburst’,"Aeonium ‘Sunburst,’ Copper Pinwheel",Crassulaceae,Succulent,"Hybrid, Garden origin",Low,1-2 feet,1-2 feet,"Full sun, Partial shade",Spring,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Philodendron hederaceum ‘Brasil’,Variegated Heartleaf Philodendron,Araceae,Vine,Americas,Low,1-6 feet,1-7 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,11-12,,,,,,,,,,,,,,,,,,,,
Agave ‘Blue Glow’,Blue Glow Agave,Asparagaceae,Succulent,Garden Origin,Low,1-2 feet,2-3 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,Yellow,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Wheels Of Wonder – Fire Wonder’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,1-2 feet,Full sun,"Summer (early), Autumn",Low,Well-Drained,Drought,Non-Toxic,6-10,,,,,,,,,,,,,,,,,,,,
Mammillaria bocasana,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Powder Puff Cactus, Powder Puff Pincushion","Cactus bocasanus, Chilita bocasana, Ebnerella bocasana, Krainzia bocasana,  Neomammillaria bocasana",Mammillaria,Cactus,Mexico,9 to 11,Height: 3-5 inches; Spread: 2-4 inches,"Summer, Spring",Evergreen,"by seeds, by offsets",Full sun to part shade,,,"Multilanata, Roseiflora, Splendens",,,,,
Orbea variegata,,Apocynaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Carrion Flower, Carrion Cactus, Toad Cactus, Starfish Cactus",Stapelia variegataStisseria variegata,Orbea,Flowering Succulent,South Africa (Western Cape),9a to 11b,Height: up to 10 inches; Spread: up to 4 inches,"Late Summer, Autumn",Evergreen,"by seeds, by cutting",Full sun to Part shade,,,,,,,,
Aloe distans,Jewel Aloe,Asphodelaceae,Succulent,South Africa,Low,1-2 feet,1-2 feet,"Full sun, Light shade",Spring,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Yellow, Red",,,,,,,,,,,,,,,,,,,
Agave potatorum ‘Kissho Kan’,Agave ‘Kissho Kan’,Asparagaceae,Succulent,Garden Origin,Low,1-2 feet,1-2 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,"Yellow, Orange",,,,,,,,,,,,,,,,,,,
Sedum morganianum,,Crassulaceae,,,,,,,,,"Dry, Good Drainage",,Non-Toxic,,,"Burro’s Tail, Donkey’s Tail, Horse’s Tail, Lamb’s Tail, Stonecrop",,Sedum,Succulent,Southern Mexico,10 to 11,"Height: 1 to 4 feet, Spread: 1 to 2 feet",Summer (Rarely Indoors),Evergreen,"by cuttings, by seeds, by division",Full sun to partial shade,,,"Burrito, Baby Burro Tail",,,,,
Aloe Petricola,Stone Aloe,Asphodelaceae,Succulent,South Africa,Low,1-2 feet,2-3 feet,"Full sun, Partial sun",,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Red, Orange (Buds)White, Green (Flowers)",,,,,,,,,,,,,,,,,,,
Aeonium arboreum ‘Zwartkop’ or Aeonium ‘Schwarzkopf’,Black Rose,Crassulaceae ,Succulent,"Hybrid, Garden origin",Low,3-4 feet,1-2 feet,"Full sun, Partial shade",Late Spring,Low to Average,"Well-drained, Loam, Sand","Drought, Salt, Deer",No,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Streptocarpus sect. Saintpaulia,,Gesneriaceae,,,,,,,,,"Moist, well-drained",,Non-Toxic,,,African Violet,,Streptocarpus,herbaceous perennial,"Tanzania, Kenya",11 to 12,up to 10 inches,"Fall, Spring, Summer, Winter",Evergreen,by leaf cuttings,Partial shade,,,,,,,,
Parodia ottonis,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Indian Head Cactus,Cactus ottonis Echinocactus ottonis Malacocarpus ottonis Notocactus ottonis Peronocactus ottonis,Parodia,Cactus,"Argentina, Brazil, Paraguay and Uruguay",9a to 11,Height: 6-12 inches; Spread: 15-18 inches,"Late Spring, Early Summer",Evergreen,"by cuttings, by offsets, by seeds",Full Sun to Partial Shade,,,,,,,,
Delosperma congestum ‘Gold Nugget’,Delosperma ‘Gold Nugget’,Aizoaceae,Succulent,Garden Origin,Low,1-2 inches,8-12 inches,Full sun,"Spring (Late), Summer","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-9,,,,,,,,,,,,,,,,,,,,
Philodendron xanadu,Winterbourn Philodendron,Araceae,Shrub,South America,Low,4-5 feet,4-5 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Delosperma dyeri Red Mountain,"Delosperma dyeri Red Mountain, Red Ice Plant, Delosperma dyeri ‘Red Mountain’Psdold’",Aizoaceae,Succulent,Garden Origin,Low,2-4 inches,1-2 feet,Full sun,"Spring (Late), Summer, Autumn","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,5-9,,,,,,,,,,,,,,,,,,,,
Aloe brevifolia,"Short-Leaf Aloe, Short-Leaved Aloe",Asphodelaceae,Succulent,South Africa,Low,1-2 feet,1-2 feet,Full sun,Spring,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,8-11,"Orange, Red",,,,,,,,,,,,,,,,,,,
Agave vilmoriniana ‘Stained Glass’,"Agave ‘Stained Glass’, Variegated Octopus Agave",Asparagaceae,Succulent,Garden Origin,Low,3-4 feet,3-4 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,9-11,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
,Echeveria ‘Blue Atoll’,Crassulaceae,Succulent,Mexico,Low,4-6 inches,8-12 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Agave americana,"Century Plant, American Aloe, Maguey",Asparagaceae,Succulent,"Mexico, Southwestern United States",Low,3-6 feet,6-10 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,"Yellow, Green",,,,,,,,,,,,,,,,,,,
Aeonium arboreum ‘Atropurpureum’,Purple Rose,Crassulaceae,Succulent,Gran Canaria (Canary Islands),Low,3-5feet,3-5 feet,"Full sun, Partial shade",Summer,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Dasylirion Serratifolium,Sandpaper Sotol,Asparagaceae,"Cactus – Succulents, Shrubs",Mexico,Low,3-6 feet,3-6 feet,"Bright, Direct sunlight","Summer (late), Fall (early)",Low,Well-Drained,Drought,Non-Toxic,8 – 11,,,,,,,,,,,,,,,,,,,,
Kalanchoe tomentosa,,Crassulaceae,,,,,,,,,Well-drained,,Mildly Toxic,,,"Panda Plant, Pussy Ears",,Kalanchoe,Succulent,Madagascar,9a to 11b,Height: up to 1.5 ft.,Spring,Evergreen,"by seeds, by offsets",Full sun to Part shade,,,,,,,,
Echinocereus knippelianus,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Peyote Verde,"Cereus knippelianus,Echinocereus inermis",Echinocereus,Cactus,Mexico,,up to 20 centimeters,"Spring, Summer",Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Parodia magnifica,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Ball Cactus, Balloon Cactus, Silver Ball Cactus, Rounded Ball Cactus","Eriocactus magnificus, Notocactus magnificus",Parodia,Cactus,Southern Brazil,9 to 12,"Height: 3 to 9 inches, Spread: 3 to 18 inches",Summer,Evergreen,"by seeds, by offsets",Full sun to Partial shade,,,,,,,,
Echeveria peacockii,Peacock Echeveria,Crassulaceae,Succulent,Mexico,Low,3-12 inches,4-6 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Echinopsis,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Sea Urchin Cactus, Hedgehog Cactus, Easter Lily Cactus",,,Cactus,South America,,Species Dependent,,Evergreen,"by cuttings, by offsets",Full sun,,,,,,,,"E. ancistrophora, E. oxygona, E. eyriesii, E. subdenudata, E. cristata"
