Origin,Max Growth (approx),Poisonous for pets,Temperature,Light,Watering,Soil,Re-Potting,Fertilizer,Humidity,Propagation,Common Problems,Common Name,Botanical Name
Native to Madagascar and Mauritius Island.,Height 6 ft.,Toxic to cats and dogs.,"Average room temperatures are ideal between 65°- 75°F (18°- 24 °C) or more. The dragon tree plant will live through much colder temperatures during winter (as I have observed), but keeping them in optimal health requires the room to be no less than 50°F (10°C).","Bright conditions with shade are suitable for the dragon plant. Direct sunlight will damage the leaves, unlike bright indirect light.","Avoid overwatering, keeping the soil slightly moist is the best indicator of correct watering. During the winter, like most plants, they need much less. The Dragon Tree is drought-tolerant.","I have always used an all-purpose potting mix that works fine. Keep the soil well drained for the optimal growth of the Madagascar dragon tree. One of the ideal soil mix is, one half to three fourth of shredded pine bark and sand.",These can be re-potted every two years during spring or later if needed. Be sure to use drainage holes.,,Normal household humidity levels are fine and misting the leaves is advised. They do like fresh air during the summer from an open window and do not like stuffy hot rooms from central heating systems.,"Cutting and re-planting stem cuttings a couple of inches long is an easy method to use. For ideal results, you can also apply root hormones for a few weeks to begin rooting.",,"Dragon Tree, Red-edged Dracaena", Dracaena marginata (botanical name).
South America.,Height 1.5ft.,Not known.,The ideal temperature to provide is between 65-75ºF (18-24ºC) for this plant. The minimum is 55ºF (13ºC).,"A place with indirect sun is best suited for this fern. If you can provide a fairly shaded place with small amounts of filtered sun then your on to a winner. In their natural woodland habitat they would be shaded by trees, but receive some spots of sun.",Your fern is best kept well watered and the soil to remain moist at all times. Your likely to have problems if you allow the soil to dry out.,A peat based potting mix is required which includes organic matter. If you can sit the pot in a larger pot surrounded with peat moss that will also improve the much needed humidity this plant requires.,Once every two years during spring will suffice.,Feed from April – September with a diluted fertilizer once a month to encourage healthy growth.,Improve humidity levels by placing the plant on a humidity tray with pebbles or use a humidifier. As mentioned above placing the pot in a larger pot surrounded with peat moss also works (double potting). You might just need to test the plant out by trying only misting and one other method and see if any faults arise.,"When re-potting in spring and when the plant is large enough you can divide sections. When dividing remove a section of rhizome with the plant by cutting “using a sharp knife”. If you have a mature plant that has produced spores (brown spots) on the underside of the leaves it’s possible to harvest these, but they’re difficult to propagate.",,Delta Maidenhair Nest Fern, — Adiantum Raddianum (botanical/scientific).
South and Central America.,10ft tall.,Non-toxic to cats and dogs.,"Room temperatures from 65-75ºF (18-24ºC) are suitable, and no lower than 50ºF (10ºC).","Bright indirect light is needed for this plant, it will struggle without enough light.",Thoroughly water the plant once the soil becomes dry and remove excess water from the pot tray. During the winter the pachira will slow it’s growth right down and will not need to be watered anywhere near as much as in spring and summer. Do not over-water or have the plant in a pot which can become waterlogged.,A peat moss-based mix or medium is suitable. A good mix can be made with 2 parts peat and one part perlite or sand (for drainage).,"Re-pot once every two years, during spring. The pachira won’t need a pot much bigger than the one it resides in now if it’s grown more, otherwise, the same pot will be fine. Keeping the tree small requires the plant to stay in a small pot with only a soil change.  Pick a pot with a drainage hole to help from rot.","A balanced liquid fertilizer diluted should be fed to the plant every 2 weeks which will encourage growth and healthy leaves. Feed from spring and stop just before winter or when growth really slows down, whichever comes first.","Braided Money Trees like high humidity, 50% humidity is ideal.  Misting with a spray bottle or a pebble tray and good practices.","Braided Money Trees like high humidity, 50% humidity is ideal.  Misting with a spray bottle or a pebble tray and good practice.",,"Mexican fortune tree, money tree plant and others", — Pachira Aquatica (botanical/scientific).
Mexico.,Height 4 ft.,Non-toxic to cats and dogs.,Average warmth 65°F (18°C) and above is fine and no less than 50°F (10°C) at night.,These are not demanding for the grower when it comes to providing enough light. Any shaded type room will suffice with indirect sunlight.,Watering the parlor palm too much will cause growing problems and could possibly kill it off. My plant is now fully grown and has enjoyed just a small amount of watering once the soil starts to dry. Very little is needed in the winter. Making sure the roots have good drainage is something they like.,Any decent potting mix will suffice (soil or soilless).,"Re-pot only when necessary, like when it becomes pot bound, because these do not like being disturbed too often .",Once every 2 weeks with a diluted liquid plant food from spring until fall will do the trick.,Spraying a water mist is advisable to improve humidity.,"The parlor is propagated by seed, usually by processional growers.",,"Parlor, Parlour palm (British English), Neanthe bella,", Chamaedorea elegans (botanical/scientific)
Brazil.,2ft tall.,Non-toxic to cats and dogs.,Ideal temperatures required should be between 60ºF – 75ºF (15.5-24ºC). Avoid sudden drops that will affect growth and cold drafts.,"Indirect sunlight is best suited for this species. Direct sun will damage the leaves and low light will slow growth, so a bit of balance is required.",Water thoroughly during the growing season then naturally reduce during winter. Good drainage is important.,Use soil that holds moisture and drains well. A 2 part peat and 1 part sand or perlite mix will do the trick.,Repot once every 2 years. During spring is best.,Feed only during the growing season from April – October with a diluted liquid feed once every 2 weeks.,Calatheas enjoy humidity in their natural climate. If you can try and raise the levels even if you just mist the plant or seat the pot on a tray of pebbles with water inside. When the humidity is low from dry air you may notice leaf tips browning.,Propagation method for this species is by division. This is done when the plant has grown large enough to separate clumps of stems with roots. Until the new plant have new growth cover them with polythene to keep conditions warm and humid. Try to propagate when it’s time for repotting.,,"Peacock Plant, Cathedral Windows (common names). Calathea or Maranta Makoyana (scientific).",
South America.,2ft tall.,Non-toxic to cats and dogs.,Its ideal temperature is between 65 – 75°F (18-23°C). Don’t let the temperature drop below 60°F (15.5°C).,This plant does extremely well in bright conditions without the need for direct sunlight. Find a well lit spot to seat your Calathea.,During the winter months it is important to keep the plant watered but do allow the top soil to dry out in between watering’s. Water when the soil begins to dry or keep the top soil moist in warmer months.,A peat based potting mix will be required. 2 parts peat and 1 part perlite is one mixture that will be fine.,I would repot once every 2 years during spring. Only replace the pot if the plant has outgrown the present one.,Feed every couple of weeks with a diluted balanced fertilizer. Only during the growing season from April – October.,"Ensuring that the air is not too dry will allow the leaves to thrive, therefore using humidifiers or pebble trays can help to maintain levels of humidity. Misting the leaves daily during summer is also advised.",These are propagated using the division method. Divide clumps of leaf stalks and leaves with roots when it’s repotting time. To encourage new growth cover the plant and pot with polythene then once new growth appears remove the polythene.,,Pin Stripe Calathea (common name). Calathea Ornata (scientific name).,
South-East-Asia.,Height 6ft.,Non-toxic to cats and dogs.,Room temperatures of around 65°f / 16°c — 75°f / 24°c are ideal. The temperature should not become lower than 50°f / 10°c during winter.,They prefer bright light with a mixture of sunlight and shade.,"You can water these frequently during spring and summer – when the top of the soil starts to become slightly dry. Over-watering will cause this plant possible root and leaf problems, or worse (kill it off). A good drainage container is advisable to house the plant. I find watering and misting with tepid filtered or distilled water is best used to avoid growing problems.",A fast draining peat based potting soil is fine to use.,"Palms generally dislike being removed from a pot. The best practice is to re-pot only, when it has become pot bound and take good care of the roots whilst doing so. Keep in mind that they do like being slightly pot bound. When re-potting just use a pot slightly bigger than the previous one, if it’s pot-bound and pack soil around the roots.",I would fertilize these about once a month from spring – fall with a diluted liquid fertiliser and none during winter.,"The pygmy enjoys misting if the room gets humid, and gently sponging the fronds with water is helpful. Make sure there are no cold drafts near your palm.","These are propagated by seed at approximately 80ฐf / 26.6ฐc. Usually professional growers propagate these because of the conditions (light and temperature) needed for several weeks or so, before they germinate.",,"Pygmy date, Miniature date palm", Phoenix roebelenii (botanical/scientific.
Fiji [4],Height 12 – 18 inches.,"Non-toxic for cats, dogs, and horses.",,,,,,,,,,Rabbit’s Foot Fern, Davallia fejeensis also known as Davallia solida var. fejeensis (botanical/scientific).[5]
Brazil.,30″ tall.,Non-toxic to cats and dogs.,Room temperatures that average 65-75ºF (18-24ºC) and no lower than 60ºF (15ºC). Avoid drafts and sudden temperature changes.,A good bright spot within a room or conservatory without direct sunlight is advised. Too much direct sun will cause issues.,"As the plant grows, you may have to get a wider pot so the roots and new stems have more room to grow. If you do not have a wider pot or just by choice, you can divide the plant in half or fourths and report those divided.",During the growing season ( May – Aug) water frequently. Always keep the soil moist (not waterlogged). During the winter cut this down and only water when the topsoil has become dry to the touch.,"As the plant grows, you may have to get a wider pot so the roots and new stems have more room to grow. If you do not have a wider pot or just by choice, you can divide the plant in half or fourths and repot those divided.",Use a balanced liquid feed to encourage the foliage to look healthy and more attractive. Feed once a month from April – August.,"Since the plant loves moist areas, you can leave a tray under your pot with pebbles to hold moisture from the water that escapes from the hole on the bottom of the pot so the plant remains moist. You can also use a humidifier for this task.","Divide the parent plant at repotting time. This involves removing the plant from the pot and separating the stems for each new plant you wish to create. Water the plants after repotting, then give time between watering to prevent problems, now wait for new growth.",,Rattlesnake Plant, Calathea Lancifolia and C. Insignis.
Brazil.,Height 20in (50cm) or more.,Non-toxic to cats and dogs.,"Average room temperatures of 65-75ºF (18-24ºC) are suitable, and no lower than 60ºF (15ºC). Sudden temperature drops and cold drafts should be avoided.","Like many plants, the Calathea enjoys bright light without direct sunlight. North, east or west facing rooms are suitable.","This species enjoys being in moist soil at all times. Avoid using hard water and use either tepid rain or distilled water. Watering needs to decrease naturally after the growing season, before and during winter.",A peat based potting mix is required. 2 parts peat and 1 part perlite is one mixture that will be fine.,"Re-pot during spring once every two years, only in a slightly larger pot if the roots have taken all the room with the current pot.",Fertilize with a balanced diluted solution every 2 weeks from April – early October.,"Humidity needs some attention with Calatheas. Misting helps, but you may also need to place the plant pot on a humidity tray with pebbles or increase the humidity with a humidifier.",Propagate by division when the plant matures. After re-potting the divided plants do not over water.,,Rose Painted Calathea, Calathea Roseopicta (botanical/scientific).
"India, Nepal, Myanmar, China, Malaysia & others.",Height 10ft (3m).,Toxic to cats and dogs.,"These can be quite tricky to propagate by stem tip cuttings, but you can succeed. Take a cutting (a few inches long) and allow the sap to dry for 1 hour. Before potting the cutting in soil use rooting hormone and then provide the bottom of the pot some heat (usually using a heating pad). The temperature wants to be kept at around 70°F (21°C) – 75°F (24°C) ideally.","A nice brightly lit spot is ideal, without direct sunlight.",Water once the soil becomes slightly dry to the touch and make sure the pot has sufficient drainage holes to allow excess water to seep through. The worst thing you can do regarding watering is “give it too much”.,"A well-draining and well-aerated potting soil is needed. 1 part peat, 1 part pine bark and 1 part coarse sand (or perlite) is a good mix.","Average room temperatures of 60 – 75°F (15 – 24°C are fine. Avoid lower than 55°F (12°C), sudden temperature drops, and cold drafts.",Feed during spring and summer with a diluted liquid fertilizer every two weeks.,Normal room humidity is fine. To improve humidity mist the leaves when it gets very warm in the summer.,"These can be quite tricky to propagate by stem tip cuttings, but you can succeed. Take a cutting (a few inches long) and allow the sap to dry for 1 hour. Before potting the cutting in soil use rooting hormone and then provide the bottom of the pot some heat (usually using a heating pad). The temperature wants to be kept at around 70°F (21°C) – 75°F (24°C) ideally.",,"Rubber plant or tree, rubber bush", Ficus elastica (botanical/scientific).
Asia.,Height 2ft indoors.,Toxic to cats and dogs (see article).,Temperature: Average room temperatures of 65°F (16°C) — 75°F (24°C) are suitable and no lower than 55°F (12.7°C).,"Sago palms benefit from bright, indirect light. Do not place it in direct sunlight. ","The soil is best kept moist, so water once the soil begins to dry slightly at the top or surface. Over-watering or watering at the crown of the plant can cause the plant to rot. During the winter reduce watering.","A well-draining and aerated potting mix is needed. Something like 1 part peat, 1 part pine bark and 1 part coarse sand is a suitable mix.",Because it’s a slow-growing plant it does not need to be re-potted every year. Once every 3 years should be fine.  Wear gloves to protect your hands.,I would feed this plant once a month from April – October with a diluted liquid slow-release fertilizer. It won’t need quite as much or as often as many other foliage plants because it’s so slow-growing.,"Average to above-average humidity levels are best suited. You may want to improve humidity levels with a humidity tray or electronic humidifier if the plant has problems associated with dry air conditions, such as brown leaflet tips. To improve humidity mist the leaves during the summer and when the air is dry.",Overall they don’t have many pest problems but watch for scale or spider mites.,Overall they don;t have many pest problems but watch for scale or spider mites.,Sago Palm, Cycas Revoluta (botanical/scientific).
Lord Howe Island (Australia – New South Wales State),Height 10ft (much more in the wild).,Non-toxic to cats and dogs.,Room temperatures of around 65°f / 16°c — 75°f / 24°c are ideal. The temperature should not decline lower than 55°f / 12.7°c.,"Indirect light is advisable, but not direct sunlight.",Water when the soil begins to lose its moisture and use a good drainage pot for the plant to grow in.,A fast draining soil mix is best to use which is likely to be part sand and/or perlite for easier drainage.,"The best practice is to re-pot only when it has become pot bound. This is because the Sentry palm does not like to be disturbed too often. Also take good care of the roots, whilst doing so.",Fertilizing every month from spring to summer is appropriate with a general or (if available) palm fertilizer.,They do grow well in quite humid conditions because it is humid in their own natural habitat.,These are Propagated by seed at 80°f / 26.6°c which is not appropriate for the average grower to propagate.,,"Sentry, belmore sentry, and curly palm", Howea belmoreana (botanical/scientific).
Madagascar and other Indian ocean islands.,Height 3ft and more indoors.,Toxic to cats and dogs.,The ideal temperatures are between 60°F (15°C) – 80°F (27°C). Allowing temperatures to go below 55°F/12°C can harm the plant. Avoid having a plant sitting near cold drafts.,A brightly lit spot without direct sunshine is suggested. A small amount of morning or evening sun is not a problem.,I would try and keep the soil slightly moist at all times and in the winter allow the soil to dry. You should be able to leave a dracaena reflexa for up to a month during winter without water and no harm would be caused. Over-watering can kill these.,A fast draining potting soil mix is best to use.,"Normal room humidity is usually fine, however, if you can?….(this will help your plant grow well) provide higher humidity levels. You can improve the humidity by placing the plant on a tray of pebbles sitting in water (water below pebble tops) or use a humidifier.",Feed every four weeks from April until September using a 10-10-10 diluted liquid fertilizer.,"Normal room humidity is usually fine, however, if you can?….(this will help your plant grow well) provide higher humidity levels. You can improve the humidity by placing the plant on a tray of pebbles sitting in water (water below pebble tops) or using a humidifier.",These are easily propagated with stem tip cuttings (about 3 -5 inches long). Place the cutting (usually more than one) into a new pot with a moist potting mix.,,"Dracaena Song of India, Pleomele", Dracaena Reflexa (botanical/scientific).
South Africa.,Height 60 cm – leaves 45 cm.,Non-toxic to cats and dogs.,A nicely lit room without direct sunlight.,Feed during spring and summer with diluted liquid fertilizer.,"They like plenty of water, between spring and summer. In the winter they should need a lot less.",The minimum temperature should be no lower than 45°F (7°C). Ideal is approximately 60° – 75°F (15° – 24°C).,"Re-pot in spring, if needed (outgrown its pot). Look for roots growing out of the drainage holes of the current pot.",Propagate by dividing the main plant or replanting the plantlets that grow from the main plant any time between spring-fall.,Avoid too much hot air as this will affect the leaves. Spraying a water mist in the summer and within a warm artificially heated room will help.,Propagate by dividing the main plant or replanting the plant lets that grow from the main plant any time between spring – fall.,,Spider or airplane, Chlorophytum comosum vittatum and variegatum (botanical/scientific).
South Mexico to Colombia.,Height over 10 ft tall.,Non-toxic to cats and dogs.,"Temperatures between 65-80ºF (18-27ºC) are ideal. Lower than 65ºF (18Cº) will slow down this plant’s growth, and below 50ºF (10ºC) will stop growth.","A fairly bright room or a bright one with plenty of shade is best. Direct sunlight will damage the leaves, and insufficient light can slow growth.  The swiss cheese can actually tolerate full sun if grown outside.","Between watering times, the soil becomes dry to the touch within the top couple of inches or so of soil.",A peat-based potting soil mixed with perlite or sand is ideal. Soil that drains well is needed.,Re-pot once every two years approximately during spring in something with drainage holes so water can run out the bottom of the pot.,"There is other advice from various sources about feeding (none wrong), but I would suggest fertilizing once a month with a diluted solution.","Average to high humidity is needed, so you will need to increase the humidity of a normal room. Misting the leaves or a pebble tray can be helpful.",Propagate from mature stem tip cuttings below an aerial root at the node during summer. Place the stem cutting about 1 or 2 inches deep in moist potting soil and water moderately. It should begin rooting within the first couple of weeks or so.,,Swiss cheese or just cheese plant, — Monstera Deliciosa (botanical/scientific).
Tropical Taiwan.,Height 10ft tall or more.,Toxic to cats and dogs.,Grows well in average room temperatures between 60 – 75 °F (15 – 24°C) but no lower than 55F (13C) or higher than 75°F (24°C). Avoid sudden temperature drops and cold drafts.,"Average humidity levels indoors are usually fine. If the air is dry in the room, creates high humidity levels.",The best advice is to water once the topsoil becomes dry. Over-watering is more of a common problem than a lack of water.,A peat moss-based potting soil with 2 parts peat moss and 1 part perlite is suggested.,"You will need to re-pot the plant once every 2 years and provide a new potting mix, during spring. To be on the safe side – hold off feeding for one month because enough nutrients should be present in the new potting soil. A good solid and heavy container is needed to prevent tall and mature trees from toppling over.",I would not go over the top with feeding this plant and just use a diluted fertilizer once a month from spring – to fall.,"Average humidity levels indoors are usually fine. If the air is dry in the room, create high humidity levels through misting or a pebble tray.","These are quite tricky to propagate, which is done by taking 4 – 6 inch stem cuttings, during spring. Do the usual stem-cutting process remove all leaves apart from one set and make sure a node is available which new growth will sprout from. You’ll need to use rooting hormone on the cut to be placed in the potting soil and pot the cutting in a container that can have a plastic sheet placed over the top (usually with elastic bands holding the plastic on) or use a propagator. These need to be kept at temperatures between 65 – 75 °F (18 – 24°C and be provided with bottom heat to improve your chances of success. Make sure you do not over-water the soil, which can begin rotting the cutting, and wait until you see plenty of new growth before beginning to provide basic care conditions.",,"Umbrella Plant, Queensland Umbrella Tree, Octopus Tree, Gold Capella"," Schefflera Arboricolum, Heptapleurum Arboricolum (botanical/scientific)."
North and South Carolina.,3 – 10 cm long stems.,Non-toxic to cats and dogs.,"These plants are happiest between 60°- 90°F (15°- 32°C) for most of the year. During the winter months, they enter a dormancy period, and can withstand temperatures as low as 30°F (-1°C) for short periods of time.","Dionaea Muscipula is a light demanding plant. For optimal health conditions, it requires at least 12 hours of light a day. At least 4 of those should be full sunlight.","They like their growing medium to be kept moist at all times, but never to the point of soggy. They are best watered through bottom-watering systems (water tray). Water should always be distilled before providing to the plant, as the chemicals in typical tap water are poisonous to the root system.",This plant demands nutrient poor soil. Peat moss and long fiber sphagnum moss should be mixed in a 1:1 ratio for the best growing conditions.,These plants can be re-potted at any time other than their dormancy period.,Never introduce fertilizer to your plant. These cause the root system to rot.,Normal household humidity is suggested.,Growing these plants from seeds requires at least five years before maturity is reached. Propagation from splitting existing plants is more common.,,Venus fly trap, — Dionaea Muscipula (botanical/scientific).
"South America, Mexico.",Stems grow over 2ft long.,The wandering jew plant is toxic to cats and toxic to dogs however not fatal according to the ASPCA.  ,"Average plant indoor temperatures of 65-75ºF (18-24ºC) are suitable, and no lower than 50ºF (10ºC).","Enough light is vital for this plant to grow well, and prevent spindly growth. South or east-facing rooms are best without too much direct sun (some direct sun is appreciated) as they enjoy bright indirect light.",Water thoroughly from April – October keeping the soil moist – and then much less during November – March.,A well-draining peat-based potting mix is suitable. 2 parts peat moss and 1 part perlite can be used.,Repot every two or three seasons when the roots crowd the pot edge.  A well drained soil should be used but they are not very picky.,Feed from April – October with a balanced diluted fertilizer every 2 weeks.,Average indoor humidity should be fine although high humidity is ideal. To improve humidity mist the leaves frequently or use a pebble tray.,Wandering Jew propagation is easy with 3 – 5 inch softwood stem cuttings just below the leaf node. Remove all but 1 or 2 leaves and place in a pot with a moist potting mix within a warm and bright setting. Within 3 – 6 weeks you will see new growth appearing. It doesn’t get much simpler than this. Rooting hormone is not needed.,"Spider mites, aphids, leaf spot, botrytis, powdery mildew, and root rot are common.","Wandering Jew, Wandering Dude, Dude, purple wandering jew, Flowering Inch Plant"," Tradescantia Zebrina, Tradescantia Fluminensis [Syn. T. Albiflora] — (botanical/scientific)."
South East Asia and Australia.,Height up to 10ft and miniature grown types 3ft.,Toxic to cats and dogs.,"Room temperatures of around 65°f / 16°c — 75°f / 24°c is ideal. Try not to allow temperatures to decrease lower than 50°f / 10°c, although they can handle a bit lower without problems.  Great indoor plant.","Bright indirect light is what keeps the Ficus Benjamina happy, which is partially shaded. A spot that receives some sun and shade during the day is great. As mentioned previously, do not move the tree, not even turning it around to prevent leaves from being shed.","Allow the compost to dry to a certain extent (at the top) between each watering with tepid filtered or distilled water. Over-watering and under-watering can cause the leaves to drop. To identify the problem, check if the leaves are crispy or if they fold easily. If they fold, then the problem could be over-watering, and if crispy, the tree could be under-watered. Add enough water that can seep from the topsoil to the drainage holes at the bottom of the container and remove the leftover water to allow enough oxygen to the plant roots. Less watering in the winter is to be carried out.",A fast-draining soil-less mix is advised.,"These can be allowed to become pot-bound to a certain extent, and as mentioned above, the weeping fig tree does not like to be disturbed. I would only re-pot when necessary, which could be every couple of years when it’s growing in height and spread.","I would only use fertilizer once a month from April until September, which has to be diluted. October – March should be a rest period without fertilizer.",Misting the leaves in the summer is advised.,"The F. benjamina is easy to propagate during summer with a few inches of good branch cuttings (from the tip), placed into soil.",,Weeping Fig," Ficus Benjamina (botanical/scientific), Ficus Tree"
Brazil.,Height 2ft.,Non-toxic to cats and dogs.,,,,,,,,,,Zebra plant, Aphelandra Squarrosa (botanical/scientific).
Mexico.,Height 1m.,Non-toxic to cats and dogs.,"Average room temperatures of 65-75ºF (18-24ºC) are best, and no lower than 60ºF (15ºC). Sudden temperature drops and cold drafts should be avoided.","In its natural habitat the Calathea dwells in forest areas shaded by trees without direct sunlight, which is why a bright but shaded spot within a warm greenhouse or conservatory suits them very well. Anywhere else indoors just needs to be bright without direct sunlight.","During the growing season water the plant thoroughly and keep the soil moist (remember this plant loves moisture). When it’s winter growing slows down or stops, reduce watering and you can allow the top soil to become slightly dry between each watering. If you can – use tepid rain or distilled water and avoid cold hard water.",A peat based potting mix will be required. 2 parts peat and 1 part perlite is one mixture that will be fine.,"You’ll need to re-pot once every two years, during spring",Feed with a balanced liquid fertilizer every two weeks from April – October.,"This is one of the conditions which can be difficult to get right in many households and to maintain throughout the whole year for this plant. Misting and keeping the soil moist will help, but if you can and if your plant is showing signs that it’s needed – use a humidity tray or electronic humidifier. Placing the Calathea near other plants will also improve humidity.",Propagation is done by dividing the main plant when re-potting is carried out. Provide a warm environment and enough humidity after dividing and replanting.,,Zebra plant, Calathea zebrina (botanical/scientific).
Eastern Africa,Stems length 3ft (30 cm).,Toxic to cats and dogs.,Average warmth is fine of approximately 60-75°F (15-24°C) and no lower than 45°F (8°C).,Average house humidity is advised but increase humidity if the artificial heating within the home or workplace is quite dry.  A humidifier helps most of your plants.  ,"Allow the soil to become dry at the top to the touch between watering and do not overwater. It’s best to water this plant less than too much because over-watering can cause stem, root rot, and rhizome rot.",Most well-draining potting mixes will suffice that contain a high amount of perlite or sand within the mix (you can add more perlite or sand if needed to a mix that is bought). Good drainage holes at the bottom of the pot are essential.,Water your plant to loosen the soil.  Remove the pot and prune any loose or dead roots.  Place into pot 1 to 2 inches larger.  Pour a couple of inches of soil into the pot bottom and then place your plant back in.  Add top soil.  The new soil level should be a couple of inches below the top so water does not overflow. ,"During the main growing season (April – August) feed with a balanced liquid fertilizer which is diluted, once a month.",Average house humidity is advised but increase humidity if the artificial heating within the home or workplace is quite dry.  A humidifier help most of your plants.  ,"You may propagate by dividing rhizomes or with leaf cuttings. Leaf cuttings have to be placed in a pot with a plastic covering and then they wait for roots to begin growing, which could take up to a year.",,ZZ plant," Zamioculcas zamiifolia (botanical/scientific pronounced zam-ee-oh-KUL-kass zam-ee-FOH-lee-uh), Zanzibar gems, eternity plant, Zuzu plant, aroid palm. "
North Africa.,Height 1 – 2 ft .,Toxic for cats and dogs.,Temperatures averaging 70°F/21°C – 80°F/26°C are very good and not much below 50°F/10°C.,"The A.Vera thrives on bright light conditions, but not direct sunlight. Heat is fine because they react similar to a cacti in hot conditions. Bright rather than light (direct), is the key.","These are succulents which are mainly made up of water and retain a lot of water in it’s foliage (for storage), similar to a cactus. The soil needs to be moist which is easy to check by placing a finger an inch deep into the soil to make sure it is not dry. It needs much less in the winter. .",A pot mixture used for cactus will suffice or a soil mix that drains well and is well aerated.,Re-pot when the plant has outgrown it’s pot. It’s best to re-pot the offsets (small aloes – pups) in separate pots once they have grown enough.,,"Humidity is not a major concern for these, making the average room indoors sufficient.","Aloe offsets can be divided carefully and then re-potted. Pups will grow from the parent plant which are best removed when they are about 2 inches long, or when the main plant needs more room to grow. Leaf cuttings can also be taken and re-planted, although this method is not as successful. I would let cuttings dry out for at-least a few days before placing them in soil mix. Drying out allows time for the wound to heal and improve it’s chance of growing.",,"Aloe V, Medicine Plant, True Aloe, Burn Plant,"," — Aloe V, Aloe barbadensis (botanical/scientific)."
Africa,Height 5cm – 15cm max.,"Not known, but it’s unlikely a pet will chew on this type of foliage, although they could be curious and might want to plan with them..","Due to where the Argyroderma testiculare originated from it can comfortably handle temperatures of up to 85°F (30°C), however, it is not frost resistant and will need to be protected from cold weather (Min 50°F – 10°C) .","The Argyroderma testiculare thrives best in areas that are sunny but have partial shade. Some direct sun is great, so if possible, balance is best. Living stones are not happy in complete shade, it does not conform with their natural habitat at all.","Due to its succulent nature, the plant is drought-tolerant and has average water needs. It is important that it is not over-watered. Watering during winter can almost cease. Overwatering is the worst thing you could do, especially if temperatures are cold. Water when the soil becomes dry to the touch.","This is a plant that likes a loamy soil and therefore, a cactus potting mix is ideal. Should you want to mix your own soil it will require one part of course sand to two parts soil in order to encourage healthy drainage. Many growers will cover the top soil with gravel or small rocks which is fine to do and encourages drainage.","There will be a requirement to repot the plant every two to three years as it can outgrow the container. Containers do not have to be deep as the plant does have shallow roots. Using clay pots is beneficial because they are porous and remove water quicker, preventing waterlogged soil.","Fertilizing once a month is advised but once the flowering begins, stop. Begin feeding again once growth appears. A cactus diluted fertilizer is good to use, at about half the strength. It’s debatable whether or not these type of plants even require feeding, so you could choose not to feed, but I would advise you to change the soil every two years (the new soil will provide nutrients).","Providing the air humidity is average to dry, the plant will grow perfectly well. They’re not high humidity lovers unlike many plants.","Grown from seed, during the winter sowing will have to be place in vented containers or an unheated greenhouse. Seeds can be sown indoors prior to the last frost and germinated in a damp paper towel. Another option is to separate by division if clumps have formed .",,Not known, Argyroderma testiculare (botanical/scientific).
South America.,25 – 30 cm tall.,Non-toxic to cats and dogs.,"Ideal temperatures of 65-75ºF (18-24ºC), and no lower than 50ºF (10ºC).","Bright light and, for the variegated types, some direct sunlight (a couple of hours) can help them grow well. So, if the leaves are dark green in color, it’s best not to provide direct sun as it will harm them, but the variegated types may lose variegation if enough light is not provided. South, east, or west-facing windows are best suited, depending on the leaf color.","The baby rubber plant is fairly easy to water. Allow the topsoil to dry out completely, and then water thoroughly. You do not want to overwater this plant and allow the soil to become waterlogged….so it might be best to lean towards less rather than too much when you first start growing Peperomias, as less harm can be caused compared to overwatering.During winter, water sparingly as the thick leaves will store water, so don’t get too concerned about the soil is dry.","A peat-based soil that drains well is best. 2 parts peat and 1 part perlite or sand is a good mix. Also, other mixes will work well, but the main point is for the medium to drain well and be well aerated.","You will not need to repot or pot up a size very often, as this plant has a small root system. So, it’s a good idea to change the soil or at least the top soil annually, and if a young plant has outgrown its current pot, you may repot a size up during spring. Better to lean towards a smaller pot than a pot too large to prevent the soil from becoming waterlogged. Shallow pots are a good option for Peperomias.","During spring – while the plant is growing, use a diluted liquid fertilizer once every two weeks and once a month during summer. No feeding is required from autumn to spring","This species does like a humid environment. During the warmer months, you can mist the leaves and/or place the plant on a pebble tray with water at the bottom. So, most homes should be fine with their natural humidity if the air is not dry.","An easy method to propagate is to take a few centimeters of stem tip cuttings. Remove a tip (petiole) with about 5 – 8 cm of the tip with one or two leaves on it. Plant the cutting in a very small pot with moist potting mix, and try to provide warm temperatures of about 20ºC (68ºF), and plenty of bright light (warmth and light is the key to success). So, you may want to use a rooting hormone on the cut being planted.The baby rubber plant can also propagate with leaf cuttings, although variegated types may lose the variegation. Also, you may want to experiment and try a few leaves and stem tips to see what propagation method works best for you. I would allow leaves or stem tip cuttings a day to dry until planted. So, wait for new growth and be careful not to overwater the move a pot size up once plenty of growth has happened.",,"Baby rubber plant, American rubber plant, Pepper face plant", Peperomia obtusifolia (botanical/scientific).
